Dataset,#TrainRelease,Classifier,FeatSel,Sampling,CostSens,TP,FP,FN,TN,Precision,Recall,AUC,Kappa
BOOKKEEPER,2,naive bayes,no selection,no sampling,sensitive threshold,756,84,63,67,0.444,0.515,0.708,0.389
BOOKKEEPER,2,ibk,no selection,no sampling,sensitive threshold,831,9,42,88,0.907,0.677,0.833,0.746
BOOKKEEPER,3,random forest,no selection,no sampling,sensitive threshold,813,25,1,131,0.840,0.992,0.981,0.894
BOOKKEEPER,3,naive bayes,no selection,no sampling,sensitive threshold,772,66,63,69,0.511,0.523,0.722,0.440
BOOKKEEPER,3,ibk,no selection,no sampling,sensitive threshold,838,0,43,89,1.000,0.674,0.837,0.781
BOOKKEEPER,4,random forest,no selection,no sampling,sensitive threshold,798,57,3,167,0.746,0.982,0.958,0.812
BOOKKEEPER,4,naive bayes,no selection,no sampling,sensitive threshold,759,96,78,92,0.489,0.541,0.714,0.411
BOOKKEEPER,4,ibk,no selection,no sampling,sensitive threshold,844,11,50,120,0.916,0.706,0.847,0.763
BOOKKEEPER,5,random forest,no selection,no sampling,sensitive threshold,816,39,1,174,0.817,0.994,0.974,0.873
BOOKKEEPER,5,naive bayes,no selection,no sampling,sensitive threshold,761,94,77,98,0.510,0.560,0.725,0.433
BOOKKEEPER,5,ibk,no selection,no sampling,sensitive threshold,844,11,43,132,0.923,0.754,0.871,0.800
BOOKKEEPER,6,random forest,no selection,no sampling,sensitive threshold,825,129,1,99,0.434,0.990,0.927,0.543
BOOKKEEPER,6,naive bayes,no selection,no sampling,sensitive threshold,830,124,45,55,0.307,0.550,0.710,0.310
BOOKKEEPER,6,ibk,no selection,no sampling,sensitive threshold,882,72,25,75,0.510,0.750,0.837,0.557
BOOKKEEPER,7,random forest,no selection,no sampling,sensitive threshold,854,207,7,42,0.169,0.857,0.831,0.225
BOOKKEEPER,7,naive bayes,no selection,no sampling,sensitive threshold,912,149,26,23,0.134,0.469,0.664,0.150
BOOKKEEPER,7,ibk,no selection,no sampling,sensitive threshold,950,111,21,28,0.201,0.571,0.733,0.249
BOOKKEEPER,8,random forest,no selection,no sampling,sensitive threshold,935,130,5,47,0.266,0.904,0.891,0.365
BOOKKEEPER,8,naive bayes,no selection,no sampling,sensitive threshold,940,125,20,32,0.204,0.615,0.749,0.254
BOOKKEEPER,8,ibk,no selection,no sampling,sensitive threshold,989,76,24,28,0.269,0.538,0.734,0.317
BOOKKEEPER,9,random forest,no selection,no sampling,sensitive threshold,1111,163,10,39,0.193,0.796,0.834,0.267
BOOKKEEPER,9,naive bayes,no selection,no sampling,sensitive threshold,1155,119,16,33,0.217,0.673,0.790,0.289
BOOKKEEPER,9,ibk,no selection,no sampling,sensitive threshold,1196,78,18,31,0.284,0.633,0.786,0.360
BOOKKEEPER,10,random forest,no selection,no sampling,sensitive threshold,1184,87,10,50,0.365,0.833,0.882,0.475
BOOKKEEPER,10,naive bayes,no selection,no sampling,sensitive threshold,1164,107,21,39,0.267,0.650,0.783,0.336
BOOKKEEPER,10,ibk,no selection,no sampling,sensitive threshold,1206,65,20,40,0.381,0.667,0.808,0.453
BOOKKEEPER,11,random forest,no selection,no sampling,sensitive threshold,1154,153,6,61,0.285,0.910,0.897,0.389
BOOKKEEPER,11,naive bayes,no selection,no sampling,sensitive threshold,1159,148,20,47,0.241,0.701,0.794,0.309
BOOKKEEPER,11,ibk,no selection,no sampling,sensitive threshold,1257,50,30,37,0.425,0.552,0.757,0.450
BOOKKEEPER,12,random forest,no selection,no sampling,sensitive threshold,1238,68,4,67,0.496,0.944,0.946,0.625
BOOKKEEPER,12,naive bayes,no selection,no sampling,sensitive threshold,1182,124,21,50,0.287,0.704,0.805,0.361
BOOKKEEPER,12,ibk,no selection,no sampling,sensitive threshold,1287,19,12,59,0.756,0.831,0.908,0.780
BOOKKEEPER,13,random forest,no selection,no sampling,sensitive threshold,1260,38,4,76,0.667,0.950,0.960,0.768
BOOKKEEPER,13,naive bayes,no selection,no sampling,sensitive threshold,1182,116,28,52,0.310,0.650,0.780,0.370
BOOKKEEPER,13,ibk,no selection,no sampling,sensitive threshold,1274,24,25,55,0.696,0.688,0.835,0.673
BOOKKEEPER,14,random forest,no selection,no sampling,sensitive threshold,1277,24,5,76,0.760,0.938,0.960,0.829
BOOKKEEPER,14,naive bayes,no selection,no sampling,sensitive threshold,1188,113,29,52,0.315,0.642,0.778,0.374
BOOKKEEPER,14,ibk,no selection,no sampling,sensitive threshold,1279,22,23,58,0.725,0.716,0.850,0.703
BOOKKEEPER,15,random forest,no selection,no sampling,sensitive threshold,1275,47,3,78,0.624,0.963,0.964,0.739
BOOKKEEPER,15,naive bayes,no selection,no sampling,sensitive threshold,1211,111,28,53,0.323,0.654,0.785,0.385
BOOKKEEPER,15,ibk,no selection,no sampling,sensitive threshold,1287,35,22,59,0.628,0.728,0.851,0.653
BOOKKEEPER,16,random forest,no selection,no sampling,sensitive threshold,1285,48,3,75,0.610,0.962,0.963,0.728
BOOKKEEPER,16,naive bayes,no selection,no sampling,sensitive threshold,1219,114,27,51,0.309,0.654,0.784,0.373
BOOKKEEPER,16,ibk,no selection,no sampling,sensitive threshold,1299,34,19,59,0.634,0.756,0.865,0.670
BOOKKEEPER,17,random forest,no selection,no sampling,sensitive threshold,1311,33,0,72,0.686,1.000,0.988,0.802
BOOKKEEPER,17,naive bayes,no selection,no sampling,sensitive threshold,1232,112,21,51,0.313,0.708,0.813,0.391
BOOKKEEPER,17,ibk,no selection,no sampling,sensitive threshold,1326,18,12,60,0.769,0.833,0.910,0.789
BOOKKEEPER,18,random forest,no selection,no sampling,sensitive threshold,1293,15,32,76,0.835,0.704,0.846,0.746
BOOKKEEPER,18,naive bayes,no selection,no sampling,sensitive threshold,1207,101,48,60,0.373,0.556,0.739,0.390
BOOKKEEPER,18,ibk,no selection,no sampling,sensitive threshold,1294,14,45,63,0.818,0.583,0.786,0.659
BOOKKEEPER,19,random forest,no selection,no sampling,sensitive threshold,1265,95,14,91,0.489,0.867,0.898,0.588
BOOKKEEPER,19,naive bayes,no selection,no sampling,sensitive threshold,1248,112,48,57,0.337,0.543,0.730,0.359
BOOKKEEPER,19,ibk,no selection,no sampling,sensitive threshold,1325,35,48,57,0.620,0.543,0.759,0.548
BOOKKEEPER,20,random forest,no selection,no sampling,sensitive threshold,1266,120,17,112,0.483,0.868,0.891,0.574
BOOKKEEPER,20,naive bayes,no selection,no sampling,sensitive threshold,1281,105,63,66,0.386,0.512,0.718,0.380
BOOKKEEPER,20,ibk,no selection,no sampling,sensitive threshold,1347,39,59,70,0.642,0.543,0.757,0.553
BOOKKEEPER,21,random forest,no selection,no sampling,sensitive threshold,1295,159,6,98,0.381,0.942,0.916,0.495
BOOKKEEPER,21,naive bayes,no selection,no sampling,sensitive threshold,1324,130,50,54,0.293,0.519,0.715,0.317
BOOKKEEPER,21,ibk,no selection,no sampling,sensitive threshold,1388,66,50,54,0.450,0.519,0.737,0.442
BOOKKEEPER,22,random forest,no selection,no sampling,sensitive threshold,1355,111,4,92,0.453,0.958,0.941,0.580
BOOKKEEPER,22,naive bayes,no selection,no sampling,sensitive threshold,1337,129,44,52,0.287,0.542,0.727,0.321
BOOKKEEPER,22,ibk,no selection,no sampling,sensitive threshold,1416,50,36,60,0.545,0.625,0.795,0.553
BOOKKEEPER,1,random forest,no selection,no sampling,sensitive learning,794,11,1,83,0.883,0.988,0.999,0.925
BOOKKEEPER,1,naive bayes,no selection,no sampling,sensitive learning,727,78,18,66,0.458,0.786,0.898,0.522
BOOKKEEPER,1,ibk,no selection,no sampling,sensitive learning,804,1,1,83,0.988,0.988,0.996,0.987
BOOKKEEPER,2,random forest,no selection,no sampling,sensitive learning,824,16,33,97,0.858,0.746,0.970,0.770
BOOKKEEPER,2,naive bayes,no selection,no sampling,sensitive learning,756,84,63,67,0.444,0.515,0.757,0.389
BOOKKEEPER,2,ibk,no selection,no sampling,sensitive learning,831,9,42,88,0.907,0.677,0.872,0.746
BOOKKEEPER,3,random forest,no selection,no sampling,sensitive learning,828,10,8,124,0.925,0.939,0.998,0.922
BOOKKEEPER,3,naive bayes,no selection,no sampling,sensitive learning,772,66,63,69,0.511,0.523,0.833,0.440
BOOKKEEPER,3,ibk,no selection,no sampling,sensitive learning,838,0,43,89,1.000,0.674,0.880,0.781
BOOKKEEPER,4,random forest,no selection,no sampling,sensitive learning,837,18,28,142,0.888,0.835,0.987,0.834
BOOKKEEPER,4,naive bayes,no selection,no sampling,sensitive learning,759,96,78,92,0.489,0.541,0.881,0.411
BOOKKEEPER,4,ibk,no selection,no sampling,sensitive learning,844,11,50,120,0.916,0.706,0.885,0.763
BOOKKEEPER,5,random forest,no selection,no sampling,sensitive learning,835,20,3,172,0.896,0.983,0.996,0.924
BOOKKEEPER,5,naive bayes,no selection,no sampling,sensitive learning,761,94,77,98,0.510,0.560,0.877,0.433
BOOKKEEPER,5,ibk,no selection,no sampling,sensitive learning,844,11,43,132,0.923,0.754,0.902,0.800
BOOKKEEPER,6,random forest,no selection,no sampling,sensitive learning,853,101,11,89,0.468,0.890,0.945,0.559
BOOKKEEPER,6,naive bayes,no selection,no sampling,sensitive learning,830,124,45,55,0.307,0.550,0.866,0.310
BOOKKEEPER,6,ibk,no selection,no sampling,sensitive learning,882,72,25,75,0.510,0.750,0.885,0.557
BOOKKEEPER,7,random forest,no selection,no sampling,sensitive learning,919,142,18,31,0.179,0.633,0.914,0.226
BOOKKEEPER,7,naive bayes,no selection,no sampling,sensitive learning,912,149,26,23,0.134,0.469,0.810,0.150
BOOKKEEPER,7,ibk,no selection,no sampling,sensitive learning,950,111,21,28,0.201,0.571,0.808,0.249
BOOKKEEPER,8,random forest,no selection,no sampling,sensitive learning,1003,62,14,38,0.380,0.731,0.960,0.467
BOOKKEEPER,8,naive bayes,no selection,no sampling,sensitive learning,940,125,20,32,0.204,0.615,0.898,0.254
BOOKKEEPER,8,ibk,no selection,no sampling,sensitive learning,989,76,24,28,0.269,0.538,0.814,0.317
BOOKKEEPER,9,random forest,no selection,no sampling,sensitive learning,1204,70,13,36,0.340,0.735,0.943,0.436
BOOKKEEPER,9,naive bayes,no selection,no sampling,sensitive learning,1155,119,16,33,0.217,0.673,0.893,0.289
BOOKKEEPER,9,ibk,no selection,no sampling,sensitive learning,1196,78,18,31,0.284,0.633,0.843,0.360
BOOKKEEPER,10,random forest,no selection,no sampling,sensitive learning,1250,21,13,47,0.691,0.783,0.976,0.721
BOOKKEEPER,10,naive bayes,no selection,no sampling,sensitive learning,1164,107,21,39,0.267,0.650,0.898,0.336
BOOKKEEPER,10,ibk,no selection,no sampling,sensitive learning,1206,65,20,40,0.381,0.667,0.860,0.453
BOOKKEEPER,11,random forest,no selection,no sampling,sensitive learning,1257,50,20,47,0.485,0.701,0.956,0.547
BOOKKEEPER,11,naive bayes,no selection,no sampling,sensitive learning,1159,148,20,47,0.241,0.701,0.910,0.309
BOOKKEEPER,11,ibk,no selection,no sampling,sensitive learning,1257,50,30,37,0.425,0.552,0.835,0.450
BOOKKEEPER,12,random forest,no selection,no sampling,sensitive learning,1300,6,6,65,0.915,0.915,0.991,0.911
BOOKKEEPER,12,naive bayes,no selection,no sampling,sensitive learning,1182,124,21,50,0.287,0.704,0.913,0.361
BOOKKEEPER,12,ibk,no selection,no sampling,sensitive learning,1287,19,12,59,0.756,0.831,0.938,0.780
BOOKKEEPER,13,random forest,no selection,no sampling,sensitive learning,1292,6,13,67,0.918,0.838,0.987,0.869
BOOKKEEPER,13,naive bayes,no selection,no sampling,sensitive learning,1182,116,28,52,0.310,0.650,0.914,0.370
BOOKKEEPER,13,ibk,no selection,no sampling,sensitive learning,1274,24,25,55,0.696,0.688,0.889,0.673
BOOKKEEPER,14,random forest,no selection,no sampling,sensitive learning,1296,5,9,72,0.935,0.889,0.992,0.906
BOOKKEEPER,14,naive bayes,no selection,no sampling,sensitive learning,1188,113,29,52,0.315,0.642,0.914,0.374
BOOKKEEPER,14,ibk,no selection,no sampling,sensitive learning,1279,22,23,58,0.725,0.716,0.894,0.703
BOOKKEEPER,15,random forest,no selection,no sampling,sensitive learning,1301,21,9,72,0.774,0.889,0.984,0.816
BOOKKEEPER,15,naive bayes,no selection,no sampling,sensitive learning,1211,111,28,53,0.323,0.654,0.914,0.385
BOOKKEEPER,15,ibk,no selection,no sampling,sensitive learning,1287,35,22,59,0.628,0.728,0.898,0.653
BOOKKEEPER,16,random forest,no selection,no sampling,sensitive learning,1315,18,14,64,0.780,0.821,0.992,0.788
BOOKKEEPER,16,naive bayes,no selection,no sampling,sensitive learning,1219,114,27,51,0.309,0.654,0.918,0.373
BOOKKEEPER,16,ibk,no selection,no sampling,sensitive learning,1299,34,19,59,0.634,0.756,0.907,0.670
BOOKKEEPER,17,random forest,no selection,no sampling,sensitive learning,1334,10,10,62,0.861,0.861,0.998,0.854
BOOKKEEPER,17,naive bayes,no selection,no sampling,sensitive learning,1232,112,21,51,0.313,0.708,0.923,0.391
BOOKKEEPER,17,ibk,no selection,no sampling,sensitive learning,1326,18,12,60,0.769,0.833,0.938,0.789
BOOKKEEPER,18,random forest,no selection,no sampling,sensitive learning,1306,2,41,67,0.971,0.620,0.940,0.742
BOOKKEEPER,18,naive bayes,no selection,no sampling,sensitive learning,1207,101,48,60,0.373,0.556,0.890,0.390
BOOKKEEPER,18,ibk,no selection,no sampling,sensitive learning,1294,14,45,63,0.818,0.583,0.830,0.659
BOOKKEEPER,19,random forest,no selection,no sampling,sensitive learning,1331,29,36,69,0.704,0.657,0.955,0.656
BOOKKEEPER,19,naive bayes,no selection,no sampling,sensitive learning,1248,112,48,57,0.337,0.543,0.888,0.359
BOOKKEEPER,19,ibk,no selection,no sampling,sensitive learning,1325,35,48,57,0.620,0.543,0.815,0.548
BOOKKEEPER,20,random forest,no selection,no sampling,sensitive learning,1368,18,42,87,0.829,0.674,0.958,0.722
BOOKKEEPER,20,naive bayes,no selection,no sampling,sensitive learning,1281,105,63,66,0.386,0.512,0.879,0.380
BOOKKEEPER,20,ibk,no selection,no sampling,sensitive learning,1347,39,59,70,0.642,0.543,0.818,0.553
BOOKKEEPER,21,random forest,no selection,no sampling,sensitive learning,1391,63,31,73,0.537,0.702,0.957,0.576
BOOKKEEPER,21,naive bayes,no selection,no sampling,sensitive learning,1324,130,50,54,0.293,0.519,0.856,0.317
BOOKKEEPER,21,ibk,no selection,no sampling,sensitive learning,1388,66,50,54,0.450,0.519,0.791,0.442
BOOKKEEPER,22,random forest,no selection,no sampling,sensitive learning,1442,24,19,77,0.762,0.802,0.981,0.767
BOOKKEEPER,22,naive bayes,no selection,no sampling,sensitive learning,1337,129,44,52,0.287,0.542,0.870,0.321
BOOKKEEPER,22,ibk,no selection,no sampling,sensitive learning,1416,50,36,60,0.545,0.625,0.831,0.553
BOOKKEEPER,1,random forest,no selection,oversampling,no cost sensitive,775,30,0,84,0.737,1.000,0.998,0.830
BOOKKEEPER,1,naive bayes,no selection,oversampling,no cost sensitive,738,67,24,60,0.472,0.714,0.890,0.513
BOOKKEEPER,1,ibk,no selection,oversampling,no cost sensitive,772,33,1,83,0.716,0.988,0.976,0.809
BOOKKEEPER,2,random forest,no selection,oversampling,no cost sensitive,814,26,32,98,0.790,0.754,0.960,0.737
BOOKKEEPER,2,naive bayes,no selection,oversampling,no cost sensitive,770,70,63,67,0.489,0.515,0.774,0.422
BOOKKEEPER,2,ibk,no selection,oversampling,no cost sensitive,801,39,37,93,0.705,0.715,0.832,0.665
BOOKKEEPER,3,random forest,no selection,oversampling,no cost sensitive,814,24,9,123,0.837,0.932,0.991,0.862
BOOKKEEPER,3,naive bayes,no selection,oversampling,no cost sensitive,772,66,64,68,0.507,0.515,0.820,0.434
BOOKKEEPER,3,ibk,no selection,oversampling,no cost sensitive,811,27,27,105,0.795,0.795,0.877,0.763
BOOKKEEPER,4,random forest,no selection,oversampling,no cost sensitive,821,34,27,143,0.808,0.841,0.981,0.788
BOOKKEEPER,4,naive bayes,no selection,oversampling,no cost sensitive,774,81,80,90,0.526,0.529,0.882,0.434
BOOKKEEPER,4,ibk,no selection,oversampling,no cost sensitive,807,48,41,129,0.729,0.759,0.859,0.691
BOOKKEEPER,5,random forest,no selection,oversampling,no cost sensitive,829,26,8,167,0.865,0.954,0.994,0.888
BOOKKEEPER,5,naive bayes,no selection,oversampling,no cost sensitive,780,75,80,95,0.559,0.543,0.880,0.460
BOOKKEEPER,5,ibk,no selection,oversampling,no cost sensitive,814,41,30,145,0.780,0.829,0.895,0.762
BOOKKEEPER,6,random forest,no selection,oversampling,no cost sensitive,840,114,7,93,0.449,0.930,0.947,0.548
BOOKKEEPER,6,naive bayes,no selection,oversampling,no cost sensitive,834,120,45,55,0.314,0.550,0.866,0.318
BOOKKEEPER,6,ibk,no selection,oversampling,no cost sensitive,842,112,15,85,0.431,0.850,0.878,0.511
BOOKKEEPER,7,random forest,no selection,oversampling,no cost sensitive,895,166,18,31,0.157,0.633,0.902,0.195
BOOKKEEPER,7,naive bayes,no selection,oversampling,no cost sensitive,912,149,26,23,0.134,0.469,0.814,0.150
BOOKKEEPER,7,ibk,no selection,oversampling,no cost sensitive,911,150,12,37,0.198,0.755,0.829,0.262
BOOKKEEPER,8,random forest,no selection,oversampling,no cost sensitive,982,83,9,43,0.341,0.827,0.957,0.447
BOOKKEEPER,8,naive bayes,no selection,oversampling,no cost sensitive,943,122,20,32,0.208,0.615,0.899,0.259
BOOKKEEPER,8,ibk,no selection,oversampling,no cost sensitive,957,108,16,36,0.250,0.692,0.809,0.321
BOOKKEEPER,9,random forest,no selection,oversampling,no cost sensitive,1168,106,10,39,0.269,0.796,0.953,0.367
BOOKKEEPER,9,naive bayes,no selection,oversampling,no cost sensitive,1159,115,16,33,0.223,0.673,0.896,0.296
BOOKKEEPER,9,ibk,no selection,oversampling,no cost sensitive,1149,125,14,35,0.219,0.714,0.820,0.295
BOOKKEEPER,10,random forest,no selection,oversampling,no cost sensitive,1216,55,11,49,0.471,0.817,0.969,0.573
BOOKKEEPER,10,naive bayes,no selection,oversampling,no cost sensitive,1169,102,22,38,0.271,0.633,0.899,0.338
BOOKKEEPER,10,ibk,no selection,oversampling,no cost sensitive,1150,121,11,49,0.288,0.817,0.870,0.385
BOOKKEEPER,11,random forest,no selection,oversampling,no cost sensitive,1230,77,17,50,0.394,0.746,0.949,0.482
BOOKKEEPER,11,naive bayes,no selection,oversampling,no cost sensitive,1159,148,20,47,0.241,0.701,0.909,0.309
BOOKKEEPER,11,ibk,no selection,oversampling,no cost sensitive,1199,108,24,43,0.285,0.642,0.789,0.351
BOOKKEEPER,12,random forest,no selection,oversampling,no cost sensitive,1273,33,7,64,0.660,0.901,0.988,0.747
BOOKKEEPER,12,naive bayes,no selection,oversampling,no cost sensitive,1182,124,21,50,0.287,0.704,0.912,0.361
BOOKKEEPER,12,ibk,no selection,oversampling,no cost sensitive,1247,59,10,61,0.508,0.859,0.926,0.614
BOOKKEEPER,13,random forest,no selection,oversampling,no cost sensitive,1277,21,11,69,0.767,0.863,0.982,0.799
BOOKKEEPER,13,naive bayes,no selection,oversampling,no cost sensitive,1177,121,28,52,0.301,0.650,0.913,0.360
BOOKKEEPER,13,ibk,no selection,oversampling,no cost sensitive,1250,48,16,64,0.571,0.800,0.904,0.642
BOOKKEEPER,14,random forest,no selection,oversampling,no cost sensitive,1286,15,10,71,0.826,0.877,0.991,0.841
BOOKKEEPER,14,naive bayes,no selection,oversampling,no cost sensitive,1180,121,29,52,0.301,0.642,0.911,0.358
